ID;Name ; Forename;Gender;Phone;Birthdate;Email;ParentName;ParentForename;Parent_type;Parent_profession;ParentPhone
bs00136;BADOMA ;Gnouyi Yves Fabrice;Male;00(226) 56 56 56 56 56;12/12/2000;studednt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 45
bs00202;BAKO;Diane Sylviane;Male;00(226) 56 56 56 56 57;13/12/2000;studewnt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 46
bs00212;BAKOUAN;Bibata;Male;00(226) 56 56 56 56 58;14/12/2000;studeqqint@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 47
bs00143;BAKOUAN;Sarata;Male;00(226) 56 56 56 56 59;15/12/2000;studeaant@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 48
bs00182;BAMA;Silvestre Armand;Male;00(226) 56 56 56 56 60;16/12/2000;stude0000dnt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 49
bs00139;BAZIE ;Balélé Bienvenue;Male;00(226) 56 56 56 56 61;17/12/2000;studegdnt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 50
bs00170;BAZIE ;Jacob Yiuerga;Male;00(226) 56 56 56 56 62;18/12/2000;studefnt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 51
bs00209;BAZOUM;Barakissa;Male;00(226) 56 56 56 56 63;19/12/2000;studeunt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 52
bs00140;BENAO  ;Christophe;Male;00(226) 56 56 56 56 64;20/12/2000;studenpt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 53
bs00183;BOUDA;Wendyam Linda;Male;00(226) 56 56 56 56 65;21/12/2000;studenpst@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 54
bs00166;BOUGOUMA ;Marcelin Wendinmanegdé;Male;00(226) 56 56 56 56 66;22/12/2000;studenreft@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 55
bs00198;COMPAORE;Awa;Male;00(226) 56 56 56 56 67;23/12/2000;studgfdent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 56
bs00141;DABIRE ;Bienvenue Yirviel;Male;00(226) 56 56 56 56 68;24/12/2000;studdftrtent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 57
bs00199;DIALLO;Fadilatou koumbo;Male;00(226) 56 56 56 56 69;25/12/2000;studrpoient@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 58
bs00173;DONGOBADA ;Antony Christian Davy;Male;00(226) 56 56 56 56 70;26/12/2000;studrkirent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 59
bs00213;GAMPENE;Carine;Male;00(226) 56 56 56 56 71;27/12/2000;studeewei5nt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 60
bs00178;GANAME ;Ousmane;Male;00(226) 56 56 56 56 72;28/12/2000;studeruyreweent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 61
bs00216;GANAME ;Fatimata;Male;00(226) 56 56 56 56 73;29/12/2000;studenfdjiufasazswt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 62
bs00177;HOUNOUVI; Folly Boris Daniel;Male;00(226) 56 56 56 56 74;30/12/2000;studwewjueweqent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 63
bs00176;ILBOUDO;Auguste Silvère;Male;00(226) 56 56 56 56 75;31/12/2000;studshdwqeedent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 64
bs00181;KABORE;Abdoulaye;Male;00(226) 56 56 56 56 76;01/01/2001;studehdfdiwewe9nt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 65
bs00142;KABRE ;Nicolas Josias Wendwaogo;Male;00(226) 56 56 56 56 77;02/01/2001;studeashsgtqww33e4343nt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 66
bs00144;KIEMTORE ;Baowêndsôm Jean-Baptiste;Male;00(226) 56 56 56 56 78;03/01/2001;studentsjdkds5689@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 67
bs00195;KONE;Amoure Indira Hasmao;Male;00(226) 56 56 56 56 79;04/01/2001;studdhjdfent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 68
